emVE,eXVE
ATP8A1,1700019D03RIK
BASP1,2210011C24RIK
CD24A,4933402E13RIK
CDH2,AASS
CER1,ALDOB
CHST15,APLN
EFNA5,APOA2
EOMES,AQP8
FGF5,ATP1B1
FGF8,B4GALT5
FOXQ1,CAR7
FZD5,CDHR2
FZD8,CITED1
GPC4,CLDN2
GRB10,CNDP2
GSC,CREB3L3
H2AFY2,CYBA
HHEX,DRAM1
IGFBP2,DUSP9
IRS4,EEA1
LBH,EFNB1
LEFTY1,FABP1
LHX1,FKBP11
MARCKS,FN1
MEST,FOXO4
OTX2,FXYD2
PGA5,GPX3
SFRP1,GSTM1
SFRP5,HERPUD1
SHISA2,HEXA
SOX4,HNF1B
SRGN,ID2
TMSB10,IGF2
TSPAN7,IQGAP2
,KDELR3
,KLHL2
,LAPTM4B
,LGALS2
,LMNA
,LRP2
,LXN
,MAF
,MED12
,MSX1
,NEU1
,PECR
,PGC
,PHLDA2
,PLAC1
,PLATR13
,RASGRP2
,RBM38
,S100A1
,S100G
,SDC4
,SIGIRR
,SLC13A4
,SLC2A2
,SLC43A2
,SLC7A9
,SLC9A6
,SMLR1
,SORD
,TBX3
,TDH
,TFEB
,TSPAN13
